"","Zona","Provincia","Canton","Distrito","Circuito","Fecha Infraccion","Hora Infraccion","tipo_muert_matriz","Edad","Sexo","Estado Civil","Nacionalidad"
"2","ZONA 1","ESMERALDAS","ESMERALDAS","ESMERALDAS","CENTRO","30/04/2014","13:40","Homicidios","22","MASCULINO","SOLTERO","ECUADOR"
"3","ZONA 6","AZUAY","SEVILLA_DE_ORO","PAUTE","SEVILLA DE ORO","30/04/2014","","Homicidios","51","MASCULINO","SOLTERO","ECUADOR"
"4","ZONA 5","LOS_RIOS","QUEVEDO","QUEVEDO","DIVINO NIÑO","02/05/2014","4:30","Femicidios","36","FEMENINO","SOLTERO","ECUADOR"
"5","ZONA 8","GUAYAS","GUAYAQUIL","FLORIDA","MAPASINGUE","02/05/2014","1:00","Asesinatos","17","MASCULINO","SOLTERO","ECUADOR"
"6","ZONA 7","LOJA","GONZANAMA","CALVAS","GONZANAMA","03/05/2014","19:50","Asesinatos","20","MASCULINO","SOLTERO","ECUADOR"
"7","ZONA 5","LOS_RIOS","VINCES","VINCES","ABRAS DE MANTEQUILLA","03/05/2014","23:00","Asesinatos","38","MASCULINO","SOLTERO","ECUADOR"
"8","ZONA 3","COTOPAXI","LATACUNGA","LATACUNGA","TERMINAL TERRESTRE","01/05/2014","21:00","Asesinatos","24","MASCULINO","SOLTERO","ECUADOR"
"9","ZONA 2","PICHINCHA","RUMINAHUI","RUMIÑAHUI - MEJIA","SAN RAFAEL","04/05/2014","19:15","Asesinatos","65","MASCULINO","CASADO","ECUADOR"
"10","ZONA 6","AZUAY","GIRON","GIRON","GIRON","03/05/2014","","Asesinatos","82","FEMENINO","VIUDO","ECUADOR"
"11","ZONA 8","GUAYAS","GUAYAQUIL","PORTETE","CISNE","04/05/2014","23:00","Asesinatos","21","MASCULINO","SOLTERO","ECUADOR"
"12","ZONA 8","GUAYAS","GUAYAQUIL","FLORIDA","MARTHA DE ROLDOS","03/05/2014","19:23","Homicidios","28","MASCULINO","SOLTERO","ECUADOR"
"13","ZONA 8","GUAYAS","GUAYAQUIL","9 DE OCTUBRE","ANTEPARA","03/05/2014","22:00","Homicidios","53","MASCULINO","SOLTERO","ECUADOR"
"14","ZONA 8","GUAYAS","GUAYAQUIL","ESTEROS","TRINITARIA SUR","04/05/2014","2:30","Homicidios","19","MASCULINO","SOLTERO","ECUADOR"
"15","ZONA 9","PICHINCHA","QUITO","ELOY ALFARO","MAGDALENA","05/05/2014","5:45","Homicidios","27","MASCULINO","SOLTERO","ECUADOR"
"16","ZONA 3","CHIMBORAZO","RIOBAMBA","RIOBAMBA","QUIMIAG","30/04/2014","0:00","Homicidios","18","FEMENINO","SOLTERO","ECUADOR"
"17","ZONA 8","GUAYAS","GUAYAQUIL","ESTEROS","TRINITARIA NORTE","05/05/2014","12:00","Asesinatos","26","MASCULINO","SOLTERO","ECUADOR"
